codigo,nombre,pbi_2022,region_id
AGO,REPÚBLICA  DE  ANGOLA,3000.44423053173,4
ARE,EMIRATOS  ÁRABES  UNIDOS,53707.9800809111,3
ARG,REPÚBLICA  ARGENTINA,13650.6046294524,0
ARM,REPÚBLICA  DE  ARMENIA,7018.05150434798,3
AUS,AUSTRALIA,65099.8459118981,5
AUT,REPÚBLICA  DE  AUSTRIA,52084.6811953372,2
AZE,REPÚBLICA  DE  AZERBAIYÁN,7762.0738285884,3
BEL,REINO  DE  BÉLGICA,49926.8254295305,2
BGD,REPÚBLICA  POPULAR  DE  BANGLADESH,2688.30550090738,3
BGR,REPÚBLICA  DE  BULGARIA,13974.4492487792,8
BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA,3600.12163486427,0
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,8917.67491057495,0
BRB,BARBADOS,20238.7842420154,7
CAN,CANADÁ,54917.6625226262,1
CHE,CONFEDERACIÓN  SUIZA,93259.9057183024,2
CHL,REPÚBLICA  DE  CHILE,15355.4797401048,0
CHN,REPÚBLICA  POPULAR  DE  CHINA,12720.2163182363,3
COL,REPÚBLICA  DE  COLOMBIA,6624.16539269075,0
CRI,REPÚBLICA  DE  COSTA  RICA,13365.3563992692,7
CUB,REPÚBLICA  DE  CUBA,56495.8534866201,7
CZE,REPÚBLICA  CHECA,27223.0451937676,8
DEU,REPÚBLICA  FEDERAL  DE  ALEMANIA,48717.9911402128,2
DNK,REINO  DE  DINAMARCA,67790.0539923276,2
DOM,REPÚBLICA  DOMINICANA,10111.2457110261,7
DZA,REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,4342.63796796522,6
ECU,REPÚBLICA  DEL  ECUADOR,6391.28248430643,0
EGY,REPÚBLICA  ÁRABE  DE  EGIPTO,4295.40749561014,6
ESP,REINO  DE  ESPAÑA,29674.5442864413,2
ETH,REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA,1027.58591095964,4
FIN,REPÚBLICA  DE  FINLANDIA,50916.2804653208,2
FRA,REPÚBLICA  FRANCESA,40886.2532680273,2
GRC,REPÚBLICA  HELÉNICA,20867.2690861087,2
GTM,REPÚBLICA  DE  GUATEMALA,5473.20856444589,7
GUY,REPÚBLICA  COOPERATIVA  DE  GUYANA,18199.4748396968,7
HND,REPÚBLICA  DE  HONDURAS,3040.17304596842,7
HTI,REPÚBLICA  DE  HAITÍ,1748.25713229469,7
HUN,HUNGRÍA,18390.1849993244,8
IDN,REPÚBLICA  DE  INDONESIA,4787.99930771921,3
IND,REPÚBLICA  DE  LA  INDIA,2410.88802070689,3
IRL,IRLANDA,103983.29133582,2
IRN,REPÚBLICA  ISLÁMICA  DE  IRÁN,4669.57137993878,3
ISR,ESTADO  DE  ISRAEL,54930.9388075096,3
ITA,REPÚBLICA  ITALIANA,34776.423234274,2
JAM,JAMAICA,6047.2164567796,7
JPN,日本国  (JAPÓN),33823.5707344332,3
KEN,REPÚBLICA  DE  KENYA,2099.30193826696,4
KOR,REPÚBLICA  DE  COREA,32422.5744864287,3
KWT,ESTADO  DE  KUWAIT,41079.5226998138,3
LBY,ESTADO  DE  LIBIA,6716.09598462328,6
LCA,SANTA  LUCÍA,13030.9284804245,7
MAR,REINO  DE  MARRUECOS,3441.99145507813,6
MEX,ESTADOS  UNIDOS  MEXICANOS,11496.5228716049,1
MOZ,REPÚBLICA  DE  MOZAMBIQUE,558.298606448221,4
MYS,MALASIA,11993.1876132994,3
NGA,REPÚBLICA  FEDERAL  DE  NIGERIA,2162.63373428577,4
NIC,REPÚBLICA  DE  NICARAGUA,2255.42599496242,7
NLD,REINO  DE  LOS  PAÍSES  BAJOS,57025.01245598,2
NOR,REINO  DE  NORUEGA,106177.197179078,2
NZL,NUEVA  ZELANDIA,48418.5916631992,5
PAK,REPÚBLICA  ISLÁMICA  DE  PAKISTÁN,1588.8798287911,3
PAN,REPÚBLICA  DE  PANAMÁ,17357.628633794,7
PER,REPÚBLICA  DEL  PERÚ,7125.82993135746,0
PHL,REPÚBLICA  DE  FILIPINAS,3498.5098055874,3
POL,REPÚBLICA  DE  POLONIA,18688.0044867103,8
PRT,REPÚBLICA  PORTUGUESA,24515.2658507319,2
PRY,REPÚBLICA  DEL  PARAGUAY,6153.05565720044,0
PSE,ESTADO  DE  PALESTINA,3789.32796575153,3
QAT,ESTADO  DE  QATAR,87661.4501457275,3
ROU,RUMANIA,15786.8017421977,8
RUS,FEDERACIÓN  DE  RUSIA,15270.7060546875,8
SAU,REINO  DE  ARABIA  SAUDITA,30447.8837074473,3
SEN,REPÚBLICA  DE  SENEGAL,1598.72643336012,4
SGP,REPÚBLICA  DE  SINGAPUR,82807.6290622897,3
SLV,REPÚBLICA  DE  EL  SALVADOR,5127.32166823012,7
SRB,REPÚBLICA  DE  SERBIA,9537.68286673128,8
SUR,REPÚBLICA  DE  SURINAME,5858.82466074423,0
SWE,REINO  DE  SUECIA,56373.7885792007,2
THA,REINO  DE  TAILANDIA,6909.9562847948,3
TTO,REPÚBLICA  DE  TRINIDAD  Y  TOBAGO,19629.4653400829,7
TUN,REPÚBLICA  TUNECINA,3747.41939149283,6
TUR,REPÚBLICA  DE  TÜRKIYE,10674.5041731531,2
UKR,UCRANIA,4533.9755859375,8
URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY,20795.0423535553,0
USA,ESTADOS  UNIDOS  DE  AMÉRICA,76329.5822652029,1
VNM,REPÚBLICA  SOCIALISTA  DE  VIETNAM,4163.51429874522,3
ZAF,REPÚBLICA  DE  SUDÁFRICA,6766.48125429478,4
